Intel(R) Core(TM) i5-4310U CPU @ 2.00GHz,1342477995.0,895013976.0,Linux,x86_64,PyPy,2.7.10,2017-09-04 09:54:55.497470
Intel(R) Core(TM) i5-4310U CPU @ 2.00GHz,44923147.0,16861662.0,Linux,x86_64,CPython,3.5.2,2017-09-04 10:23:52.904123
Intel Xeon E312xx (Sandy Bridge),30325165.0,18340245.0,Linux,x86_64,CPython,2.7.12,2017-09-04 10:24:18.601942
"Intel64 Family 6 Model 61 Stepping 4, GenuineIntel",39953085.0,13712203.0,Windows,AMD64,CPython,3.6.1,2017-09-04 10:26:13.032456
armv8l,5971032.0,2178654.0,Linux,armv8l,CPython,3.2.2,2017-09-04 10:30:28.822903
Intel(R) Core(TM) i5-7400 CPU @ 3.00GHz,47908785.0,30059713.0,Linux,x86_64,CPython,2.7.12,2017-09-04 12:48:29.808935
Intel Xeon E312xx (Sandy Bridge),27055173.0,17862019.0,Linux,x86_64,CPython,2.7.12,2017-09-04 12:54:34.480845
Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,51722763.0,18407876.0,Linux,x86_64,CPython,3.4.3,2017-09-04 14:28:53.059224
Intel(R) Xeon(R) CPU @ 2.30GHz,21887512.0,15933202.0,Linux,x86_64,CPython,2.7.12,2017-09-04 14:57:03.412467
Intel(R) Xeon(R) CPU E5-2680 v3 @ 2.50GHz,20381080.0,14975859.0,Linux,x86_64,CPython,2.7.12,2017-09-04 14:58:35.715522
Intel(R) Core(TM) m3-6Y30 CPU @ 0.90GHz,31470340.0,18301991.0,Linux,x86_64,CPython,2.7.12,2017-09-04 16:42:13.501962
ARMv7 Processor rev 1 (v7l),10151721.0,3020516.0,Linux,armv7l,CPython,3.6.0,2017-09-04 18:04:52.565436
Intel(R) Core(TM) i5-6200U CPU @ 2.30GHz,43871534.0,14890400.0,Windows,AMD64,CPython,3.6.0,2017-09-04 18:48:14.697460
Intel(R) Core(TM) i7-6700K CPU @ 4.00GHz,67663019.0,22766727.0,Windows,AMD64,CPython,3.5.2,2017-09-04 21:36:42.162272
Intel(R) Pentium(R) CPU G4620 @ 3.70GHz,51216437.0,9031319.0,Windows,AMD64,CPython,3.6.2,2017-09-04 23:00:27.938803
